segment_id,video_key,video_path,split,class_id,class_name,start_frame,end_frame,fps,n_frames
0,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,0,Reach to Shelf,235,256,30.0,3796
1,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,0,Reach to Shelf,648,684,30.0,3796
2,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,0,Reach to Shelf,979,1007,30.0,3796
3,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,0,Reach to Shelf,1307,1329,30.0,3796
4,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,0,Reach to Shelf,1711,1734,30.0,3796
5,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,0,Reach to Shelf,2167,2185,30.0,3796
6,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,0,Reach to Shelf,2375,2393,30.0,3796
7,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,0,Reach to Shelf,2702,2729,30.0,3796
8,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,0,Reach to Shelf,3045,3072,30.0,3796
9,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,0,Reach to Shelf,3407,3425,30.0,3796
10,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,0,Reach to Shelf,560,600,30.0,3796
11,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,0,Reach to Shelf,2322,2354,30.0,3796
12,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,1,Retract from Shelf,605,626,30.0,3796
13,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,1,Retract from Shelf,2356,2372,30.0,3796
14,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,1,Retract from Shelf,256,290,30.0,3796
15,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,1,Retract from Shelf,685,759,30.0,3796
16,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,1,Retract from Shelf,1009,1049,30.0,3796
17,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,1,Retract from Shelf,1330,1386,30.0,3796
18,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,1,Retract from Shelf,1770,1792,30.0,3796
19,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,1,Retract from Shelf,2186,2210,30.0,3796
20,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,1,Retract from Shelf,2297,2319,30.0,3796
21,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,1,Retract from Shelf,2395,2416,30.0,3796
22,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,1,Retract from Shelf,2730,2776,30.0,3796
23,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,1,Retract from Shelf,3072,3103,30.0,3796
24,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,1,Retract from Shelf,3360,3405,30.0,3796
25,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,1,Retract from Shelf,3426,3487,30.0,3796
26,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,2,Hand in Shelf,1736,1764,30.0,3796
27,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,3,Inspect Product,299,388,30.0,3796
28,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,3,Inspect Product,389,478,30.0,3796
